№,Ціна,Площа,Кімнати,Поверх,Поверховість,Район,Тип,Рік,Стан,Відстань,Посилання
1,43500,47.5,2,11,14,Амур-Нижньодніпровський,новобудова,2020,без ремонту,35,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-vorontsova-lugovskaya-ulitsa-32464754.html
2,21000,46,2,1,14,Індустріальний,вторинна,2020,без ремонту,22,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-levoberejnyy-festivalnyy-pereulok-32508874.html
3,40000,45.4,2,8,9,Соборний,вторинна,1985,з ремонтом,60,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-pobeda-6-shtabnoy-pereulok-32952657.html
4,45000,50,2,2,9,Амур-Нижньодніпровський,вторинний,1985,з ремонтом,85,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-lomovskiy-stepana-rudnitskogo-sholohova-ulitsa-32539792.html
5,40999,63.3,3,3,9,Індустріальний,вторинний,1987,з ремонтом,65,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-industrialnyy-zaharchenko-generala-ulitsa-30787015.html
6,62000,	56.3,3,3,9,Амур-Нижньодніпровський,вторинний,1985,з ремонтом,48,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-amur-nijnedneprovskiy-polonskoy-vasilenko-ulitsa-32817711.html
7,39999,84.2,4,9,9,Соборний,вторинний,1989,з ремонтом,63,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-sobornyiy-abeejnaya-obed-lia-32322810.html
8,26100,47.6,2,1,2,Новокодацький,вторинний,1979,з ремонтом,40,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-metalurgov-kievskaya-ulitsa-32704223.html
9,28000,	32.7,1,1,1,Шевченківський,вторинний,1970,з ремонтом,47,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-shevchenkovskiy-tolstogo-ulitsa-32578705.html
10,71900,45,2,13,19,Шевченківський,вторинний,2018,з ремонтом,22,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-shevchenkovskiy-zvezdnyy-bulvar-32587204.html
11,157000,	151.5,4,8,16,Соборний,вторинний,2001,з ремонтом,26,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-sobornyiy-ogolya-lia-31576995.html
12,168000,148,4,7,9,Соборний,вторинний,2015,без ремонту,23,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-sicheslavskaya-naberejnaya-ulitsa-30928451.html
13,187350,124.9,2,3,6,Соборний,новобудова,2021,без ремонту,41,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-park-shevchenko-dolnik-arhitektora-ulitsa-32903666.html
14,23000,	32.7,1,2,5,Шевченківський,вторинний,1979,з ремонтом,30,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-12-kvartal-injenernaya-ulitsa-32839817.html
15,37000,63.2,3,8,9,Новокодацький,вторинний,1989,з ремонтом,47,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-pokrovskiy-metrostroevskaya-ulitsa-31684738.html
16,39500,53.3,2,2,9,Індустріальний,вторинний,1989,з ремонтом,48,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-kalinovaya-pravda-kalinovaya-ulitsa-32869817.html
17,68999,65.3,1,6,9,Соборний,вторинний,2020,без ремонту,42,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-mandrykivka-mandrykovskaya-ulitsa-32945942.html
18,75000,	64.7,3,3,4,Центральний,вторинний,1971,з ремонтом,13,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-park-lgloby-starokazatskaya-komsomolskaya-ulitsa-32886924.html
19,19000,	34.1,1,2,9,Новокодацький,вторинний,1969,без ремонту,26,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-mazepy-karavaeva-ulitsa-32891543.html
20,22900,36.1,1,9,10,Амур-Нижньодніпровський,вторинний,1990,з ремонтом,38,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-vorontsova-radistov-ulitsa-32816966.html
21,49000,	35.3,1,4,11,Шевченківський,новобудова,2021,без ремонту,16,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-tsentr-troitskaya-ulitsa-32810204.html
22,350000,282.2,5,13,16,Соборний,вторинний,2006,з ремонтом,23,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-nagornyy-brigadnaya-ulitsa-32702877.html
23,500000,150,4,2,5,Центральний,новобудова,2017,з ремонтом,10,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-prospekt-polya-podolinskogo-sergeya-ulitsa-32733314.html
24,315000,119.7,2,17,20,Соборний,новобудова,2016,з ремонтом,27,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-nagornyy-mossakovskogo-vladimira-ulitsa-32675908.html
25,46900,81,4,7,9,Амур-Нижньодніпровський,вторинний,1979,з ремонтом,37,https://dom.ria.com/uk/realty-prodaja-kvartira-dnepr-amur-nijnedneprovskiy-kotlyarevskogo-ulitsa-31306126.html
